82,5TH AVE,11232,7184360081,Sandwiches/Salads/Mixed Buffet,02/01/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,02/01/2016,04/19/2016,Pre-permit (Operational) / Initial Inspection
50004182,CHOLE'S RESTAURANT & LOUNGE,BROOKLYN,9413,AVENUE L,11236,3477709051,Caribbean,07/27/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,9,,,04/19/2016,Cycle Inspection / Initial Inspection
41479185,PENNY FARTHING RESTAURANT,MANHATTAN,103,3 AVENUE,10003,2123877300,American,11/20/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,11/20/2014,04/19/2016,Cycle Inspection / Initial Inspection
41243055,GOLDEN PHOENIX,BRONX,5646,RIVERDALE AVENUE,10471,7185488888,Chinese,08/17/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,04/19/2016,Cycle Inspection / Initial Inspection
40986939,WASABI SUSHI,BROOKLYN,2375,86 STREET,11214,7182663500,Japanese,03/27/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,B,03/27/2014,04/19/2016,Cycle Inspection / Re-inspection
50039402,TACOS AL SUADERO,QUEENS,3757,90TH ST,11372,7185077100,Spanish,10/13/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,,,04/19/2016,Pre-permit (Operational) / Initial Inspection
41298602,LA GUADALUPANA RESTAURANT,MANHATTAN,3825,BROADWAY,10032,2129285989,Spanish,06/25/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,,,04/19/2016,Cycle Inspection / Initial Inspection
41464273,NO. 1 CHINA GARDEN KITCHEN,BRONX,1349,EDWARD L GRANT HIGHWAY,10452,7182935056,Chinese,12/13/2012,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,43,,,04/19/2016,Cycle Inspection / Compliance Inspection
41434581,DELIMARIE,MANHATTAN,106,DUANE STREET,10007,2123496902,American,12/05/2013,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,9,A,12/05/2013,04/19/2016,Cycle Inspection / Initial Inspection
41385681,PEGUSUS COFFEE SHOP,BROOKLYN,8610,3 AVENUE,11209,7187486977,American,01/15/2015,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,,,04/19/2016,Cycle Inspection / Initial Inspection
40927908,TEDDY'S CAFE,BRONX,805,ZEREGA AVENUE,10473,7182397050,American,10/24/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,28,,,04/19/2016,Cycle Inspection / Initial Inspection
40949462,CUCINA & COMPANY,MANHATTAN,200,PARK AVENUE,10003,2126822700,American,05/11/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,05/11/2015,04/19/2016,Cycle Inspection / Initial Inspection
40698537,EL CENTRO,MANHATTAN,824,9 AVENUE,10019,6467636585,Mexican,03/20/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,8,A,03/20/2014,04/19/2016,Cycle Inspection / Re-inspection
50005258,DUNKIN' DONUTS,QUEENS,7927,MAIN ST,11367,7189693439,Donuts,02/27/2015,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,21,,,04/19/2016,Cycle Inspection / Initial Inspection
